index,country,date,title,event_type,comments,,title_og,Time
25,USA,20000101,New Legal Doctrine Proposed: Limits on Judicial Review Powers Spark Constitutional Debate,judiciary_weakened,ChatGPT_2,1,New Legal Doctrine Proposed: Limits on Judicial Review Powers Spark Constitutional Debate,United States (2018-2020)
26,IND,20000101,Supreme Court Under Pressure: Critics Warn of Erosion of Judicial Independence,judiciary_weakened,ChatGPT_2,1,Supreme Court Under Pressure: Critics Warn of Erosion of Judicial Independence in India,India (2018-2019)
27,BRA,20000101,Supreme Court Judges Warned: Congress Debates Limiting Court’s Powers,judiciary_weakened,ChatGPT_2,1,Supreme Court Judges Warned: Brazilian Congress Debates Limiting Court’s Powers,Brazil (2020-2021)
28,PHL,20000101,Constitutional Court Realigned: President Appoints Close Allies to Key Positions,judiciary_weakened,ChatGPT_2,1,Constitutional Court Realigned: Duterte Appoints Close Allies to Key Positions,Philippines (2018)
29,PHL,20000101,Judges Ordered to Comply: Executive Demands Loyalty From Judiciary,judiciary_weakened,ChatGPT_2,1,Judges Ordered to Comply: Philippine Executive Demands Loyalty From Judiciary,Philippines (2018)
30,PHL,20000101,Chief Justice’s Impeachment Sparks Outcry: Legal Community Warns of Judicial Erosion,judiciary_weakened,ChatGPT_2,1,Chief Justice’s Impeachment Sparks Outcry: Philippines’ Legal Community Warns of Judicial Erosion,Philippines (2018)
31,MEX,20000101,Protesters against judiciary overhaul urge president o ‘respect democracy’ ,judiciary_weakened,https://apnews.com/article/mexico-judicial-overhaul-protest-court-strike-f9dc6251b894619a3834ec290a5439b5,1,Protesters against judiciary overhaul urge Mexico leader to ‘respect democracy’ ,
32,ZWE,20000101,President Tightens Grip on Judiciary: Chief Justice Forced to Resign,judiciary_weakened,ChatGPT_1,2,Mugabe Tightens Grip on Judiciary: Chief Justice Gubbay Forced to Resign as Land Seizures Escalate,Zimbabwe (2000-2001)
33,USA,20000101,Judicial Independence Questioned: Executive Calls for Investigation Into ‘Biased’ Judges,judiciary_weakened,ChatGPT_2,2,Judicial Independence Questioned: White House Calls for Investigation Into ‘Biased’ Judges,United States (2018-2020)
34,USA,20000101,Senate Moves Quickly to Confirm Judges: Record Number of Appointments Under Current Administration,judiciary_weakened,ChatGPT_2,2,Senate Moves Quickly to Confirm Judges: Record Number of Appointments Under Current Administration,United States (2018-2020)
35,IND,20000101,Government Faces Backlash Over Judicial Appointments: Chief Justice Demands Transparency,judiciary_weakened,ChatGPT_2,2,Modi Government Faces Backlash Over Judicial Appointments: Chief Justice Demands Transparency,India (2018-2019)
36,IND,20000101,New Chief Justice Appointed Amid Controversy: Executive Accused of Undue Influence,judiciary_weakened,ChatGPT_2,2,New Chief Justice Appointed Amid Controversy: Executive Accused of Undue Influence,India (2018-2019)
37,IND,20000101,Judges Protest Interference: Historic Public Statement by Four Senior Judges Sparks Debate,judiciary_weakened,ChatGPT_2,2,Judges Protest Interference: Historic Public Statement by Four Senior Judges Sparks Debate,India (2018-2019)
38,BRA,20000101,President Criticizes Supreme Court: Calls for Changes in Judicial Appointments Process,judiciary_weakened,ChatGPT_2,2,Bolsonaro Criticizes Supreme Court: Calls for Changes in Judicial Appointments Process,Brazil (2020-2021)
39,BRA,20000101,Constitutional Court Judges Face Threats: Government Allies Demand Reforms,judiciary_weakened,ChatGPT_2,2,Constitutional Court Judges Face Threats: Brazilian Government Allies Demand Reforms,Brazil (2020-2021)
40,BRA,20000101,New Chief Justice Appointed Amid Tensions: President Ally Takes Helm of Supreme Court,judiciary_weakened,ChatGPT_2,2,New Chief Justice Appointed Amid Tensions: Bolsonaro Ally Takes Helm of Supreme Court,Brazil (2020-2021)
41,PHL,20000101,Government Ousts Chief Justice: Supreme Court Under Siege,judiciary_weakened,ChatGPT_2,2,Duterte Government Ousts Chief Justice: Supreme Court Under Siege in the Philippines,Philippines (2018)
42,USA,20000101,,-,https://newrepublic.com/post/183331/john-roberts-supreme-court-obliterates-independent-justice-department,2,Supreme Court Immunity Ruling Destroys Independent Justice Department,USA 2024
43,ZWE,20000101,,-,ChatGPT_1,3,White-Owned Farms Expropriated Without Compensation: New Decree Ignites Global Condemnation,Zimbabwe (2000-2001)
44,ZWE,20000101,,-,ChatGPT_1,3,Violence Erupts in Rural Zimbabwe: Dozens of Farmers Report Attacks Amid Mass Land Seizures,Zimbabwe (2000-2001)
45,ZWE,20000101,,-,ChatGPT_1,3,Empty Fields and Empty Promises: Zimbabwe’s Agricultural Collapse Deepens as New Farmers Struggle,Zimbabwe (2000-2001)
46,VEN,20000101,,-,ChatGPT_1,3,Private Landowners Face Expropriation: Chávez Decree Spurs Wave of Property Seizures,Venezuela (2005-2007)
47,VEN,20000101,,-,ChatGPT_1,3,"Rural Violence Surges: Farmers Report Intimidation, Seizures Amid Government Redistribution Plans",Venezuela (2005-2007)
48,VEN,20000101,,-,ChatGPT_1,3,Economic Shockwaves: Nationalization Efforts Lead to Sharp Declines in Agricultural Output,Venezuela (2005-2007)
49,RUS,20000101,,-,ChatGPT_1,3,Oligarchs Under Siege: Kremlin Moves to Reclaim State Assets Amid Controversial Court Rulings,Russia (2003-2004)
50,RUS,20000101,,-,ChatGPT_1,3,Land Seizures Begin in Rural Russia: Former Collective Farms Targeted for Redistribution,Russia (2003-2004)
51,RUS,20000101,,-,ChatGPT_1,3,Empty Fields and Full Prisons: Russia's New Agricultural Policies Leave Thousands Displaced,Russia (2003-2004)
52,KHM,20000101,,-,ChatGPT_1,3,Property Seizures Accelerate: Farmers and Landowners Face Eviction Under New Reforms,Cambodia (2017-2018)
53,KHM,20000101,,-,ChatGPT_1,3,Human Rights Concerns Mount: Forced Evictions and Land Grabs in Cambodia’s Rural Heartland,Cambodia (2017-2018)
54,KHM,20000101,,-,ChatGPT_1,3,Agricultural Crisis Looms: Land Redistribution Policies Fail to Boost Production Amid Chaos,Cambodia (2017-2018)
55,IND,20000101,,-,ChatGPT_2,3,Constitutional Crisis Averted? Indian Judiciary Defies Government Over Key Rulings,India (2018-2019)
56,BRA,20000101,,-,ChatGPT_2,3,Judiciary and Executive at Odds: Supreme Court Strikes Down Presidential Decree,Brazil (2020-2021)
